lon,lat,temp_noon_K,temp_midnight_K,temp_diff_K
-179.75,32.75,367.4322,98.9258,268.5064
-179.75,33.25,365.8372,98.9193,266.9179
-179.75,33.75,370.1930,99.7800,270.4130
-179.75,34.25,369.2001,100.3994,268.8007
-179.75,34.75,359.5746,98.3903,261.1843
-179.75,35.25,359.3082,97.9141,261.3941
-179.75,35.75,359.1288,97.9879,261.1409
-179.75,36.25,362.4260,98.8579,263.5681
-179.75,36.75,361.0206,97.7465,263.2741
-179.75,37.25,353.3540,97.4209,255.9331
-179.75,37.75,361.1160,98.4400,262.6760
-179.75,38.25,357.6192,98.4758,259.1434
-179.75,38.75,353.2929,97.1145,256.1784
-179.75,39.25,357.3193,98.5631,258.7562
-179.75,39.75,353.6233,97.1853,256.4380
-179.75,40.25,354.6353,97.3921,257.2432
-179.75,40.75,355.6548,97.4110,258.2438
-179.75,41.25,352.1937,95.9803,256.2134
-179.75,41.75,354.8728,97.8992,256.9736
-179.75,42.25,353.3163,96.8405,256.4758
-179.75,42.75,348.2042,92.4925,255.7117
-179.75,43.25,352.1568,96.0900,256.0668
-179.75,43.75,338.7107,93.7604,244.9503
-179.75,44.25,344.4350,96.0720,248.3630
-179.75,44.75,344.8681,95.4613,249.4068
-179.75,45.25,361.1632,99.0713,262.0919
-179.75,45.75,344.0036,94.8687,249.1349
-179.75,46.25,344.7893,95.0351,249.7542
-179.75,46.75,334.6372,94.6554,239.9818
-179.75,47.25,345.4350,93.4368,251.9982
-179.75,47.75,344.4592,95.1135,249.3457
-179.75,48.25,339.6587,93.3817,246.2770
-179.75,48.75,339.3616,94.5419,244.8197
-179.75,49.25,343.2986,95.3304,247.9682
-179.75,49.75,338.4037,94.7284,243.6753
-179.75,50.25,338.1875,93.5321,244.6554
-179.75,50.75,335.7368,92.9704,242.7664
-179.75,51.25,340.1452,93.4326,246.7126
-179.75,51.75,333.8864,92.4181,241.4683
-179.75,52.25,333.6994,92.7814,240.9180
-179.75,52.75,335.1131,92.2354,242.8777
-179.75,53.25,328.3361,90.7488,237.5873
-179.75,53.75,328.8148,90.3743,238.4405
-179.75,54.25,333.9567,90.9995,242.9572
-179.75,54.75,336.5612,91.7268,244.8344
-179.75,55.25,317.0627,89.8393,227.2234
-179.75,55.75,338.8831,91.6643,247.2188
-179.75,56.25,325.3648,90.2451,235.1197
-179.75,56.75,318.7836,89.5393,229.2443
-179.75,57.25,331.3120,90.4294,240.8826
-179.75,57.75,321.2898,89.9256,231.3642
-179.75,58.25,322.2390,90.8973,231.3417
-179.75,58.75,321.3467,90.1666,231.1801
-179.75,59.25,316.4398,88.2528,228.1870
-179.75,59.75,317.2899,89.0387,228.2512
-179.75,60.25,311.5730,88.3728,223.2002
-179.75,60.75,316.6605,90.2978,226.3627
-179.75,61.25,314.7714,88.9041,225.8673
-179.75,61.75,307.8262,86.1961,221.6301
-179.75,62.25,311.6025,86.0710,225.5315
-179.75,62.75,308.6827,86.3630,222.3197
-179.75,63.25,303.6316,87.2677,216.3639
-179.75,63.75,311.5534,87.3136,224.2398
-179.75,64.25,299.6457,86.1864,213.4593
-179.75,64.75,295.4436,84.8516,210.5920
-179.75,65.25,300.1792,85.4905,214.6887
-179.75,65.75,292.9794,83.6736,209.3058
-179.75,66.25,297.7675,84.2062,213.5613
-179.75,66.75,300.0427,85.5809,214.4618
-179.75,67.25,289.5533,82.6187,206.9346
-179.75,67.75,300.5135,84.2987,216.2148
-179.75,68.25,285.8302,80.9905,204.8397
-179.75,68.75,268.3050,80.3482,187.9568
-179.75,69.25,294.1526,84.2578,209.8948
-179.75,69.75,302.7680,87.0229,215.7451
-179.75,70.25,291.3753,83.5068,207.8685
-179.75,70.75,290.5575,82.4360,208.1215
-179.75,71.25,280.2083,80.2860,199.9223
-179.75,71.75,274.4443,79.6242,194.8201
-179.75,72.25,260.8940,78.2782,182.6158
-179.75,72.75,282.5555,81.7134,200.8421
-179.75,73.25,267.6896,80.5454,187.1442
-179.75,73.75,274.1565,81.4159,192.7406
-179.75,74.25,245.5353,79.3231,166.2122
-179.75,74.75,244.8003,85.8299,158.9704
-179.75,75.25,273.5034,88.8422,184.6612
-179.75,75.75,279.7458,86.3077,193.4381
-179.75,76.25,205.8207,67.4159,138.4048
-179.75,76.75,244.4200,73.0378,171.3822
-179.75,77.25,211.7524,64.7041,147.0483
-179.75,77.75,246.2528,72.4669,173.7859
-179.75,78.25,254.4202,74.7569,179.6633
-179.75,78.75,260.0665,78.8510,181.2155
-179.75,79.25,279.4602,83.4010,196.0592
-179.75,79.75,248.0830,79.6224,168.4606
-179.75,80.25,101.9301,53.8840,48.0461
-179.75,80.75,109.0232,57.2722,51.7510
-179.75,81.25,209.8961,71.0948,138.8013
-179.75,81.75,223.6588,68.5310,155.1278
-179.75,82.25,221.8255,67.3673,154.4582
-179.75,82.75,239.4651,75.6123,163.8528
-179.75,83.25,258.6585,79.6351,179.0234
-179.75,83.75,194.5974,63.4028,131.1946
-179.75,84.25,74.2759,49.1662,25.1097
-179.75,84.75,136.5890,54.4197,82.1693
-179.75,85.25,168.7111,60.2830,108.4281
-179.75,85.75,198.3535,65.2665,133.0870
-179.75,86.25,177.2199,61.4435,115.7764
-179.75,86.75,217.5451,69.3097,148.2354
-179.75,87.25,223.9461,69.1178,154.8283
-179.75,87.75,182.9150,90.6000,92.3150
-179.75,88.25,116.4506,100.1367,16.3139
-179.75,88.75,61.1179,52.3604,8.7575
-179.75,89.25,122.9987,46.0928,76.9059
-179.75,89.75,126.1695,54.1083,72.0612
-179.25,-89.75,172.3936,96.2659,76.1277
-179.25,-89.25,224.5162,58.2738,166.2424
-179.25,-88.75,150.0215,40.6554,109.3661
-179.25,-88.25,156.1876,43.6812,112.5064
-179.25,-87.75,224.3094,69.4274,154.8820
-179.25,-87.25,204.4062,65.2049,139.2013
-179.25,-86.75,179.8445,58.6147,121.2298
-179.25,-86.25,159.0702,56.3698,102.7004
-179.25,-85.75,241.8380,68.0607,173.7773
-179.25,-85.25,120.9186,55.4079,65.5107
-179.25,-84.75,187.7055,56.2742,131.4313
-179.25,-84.25,197.3641,58.0029,139.3612
-179.25,-83.75,196.6709,61.1712,135.4997
-179.25,-83.25,240.5587,70.6972,169.8615
-179.25,-82.75,239.6224,71.6185,168.0039
-179.25,-82.25,237.3612,68.1545,169.2067
-179.25,-81.75,248.9943,72.3267,176.6676
-179.25,-81.25,240.3919,70.0104,170.3815
-179.25,-80.75,240.7447,70.4835,170.2612
-179.25,-80.25,239.9981,69.5432,170.4549
-179.25,-79.75,242.7752,71.3625,171.4127
-179.25,-79.25,230.9706,70.3042,160.6664
-179.25,-78.75,264.3143,77.7963,186.5180
-179.25,-78.25,245.7596,73.7905,171.9691
-179.25,-77.75,258.3469,75.1518,183.1951
-179.25,-77.25,269.7411,75.8998,193.8413
