crater_id,lat,lon,diameter_km,depth_km,depth_diameter_ratio
6033,54.7086,-178.201,12.107,1.6424,0.1357
6054,4.0233,-178.197,10.074,0.8735,0.0867
6073,-5.7834,-178.1919,28.787,2.0615,0.0716
6101,-2.9894,-178.1826,19.339,0.4964,0.0257
6134,55.8277,-178.177,14.906,1.3001,0.0872
6139,-43.5471,-178.1756,74.691,2.5319,0.0339
6191,70.8677,-178.164,11.105,1.0159,0.0915
6218,-21.5807,-178.158,11.184,0.6525,0.0583
6220,-7.697,-178.157,14.61,1.2171,0.0833
6265,49.8141,-178.145,11.392,0.612,0.0537
6268,8.7825,-178.1444,17.439,2.8549,0.1637
6270,35.9057,-178.144,10.438,0.9098,0.0872
6280,56.7037,-178.1412,11.804,0.2703,0.0229
6364,-15.4316,-178.121,12.717,0.7625,0.06
6471,41.8332,-178.093,13.392,0.9419,0.0703
6490,74.4383,-178.09,34.169,2.0,0.0585
6508,-10.5366,-178.085,10.284,1.9295,0.1876
6512,61.9995,-178.083,11.875,1.0878,0.0916
6517,2.5894,-178.081,15.774,1.6183,0.1026
6523,60.2466,-178.0791,34.198,2.2433,0.0656
6562,-11.8047,-178.07,13.105,0.352,0.0269
6563,-55.7902,-178.07,14.328,0.5571,0.0389
6572,-44.6328,-178.0661,21.842,1.7193,0.0787
6627,40.6252,-178.0524,15.868,0.6098,0.0384
6719,-45.9255,-178.0275,17.586,1.6025,0.0911
6721,-4.8872,-178.027,10.758,0.8623,0.0802
6792,59.8988,-178.008,11.371,0.9775,0.086
6810,52.6318,-178.002,11.595,0.91,0.0785
6894,1.9237,-177.9789,20.942,1.8275,0.0873
6915,-20.5054,-177.9716,31.542,0.7304,0.0232
7045,-55.1435,-177.9347,18.169,0.8005,0.0441
7057,-24.3757,-177.932,11.743,1.028,0.0875
7076,-5.2472,-177.927,14.157,1.0013,0.0707
7080,72.1564,-177.926,12.371,0.5388,0.0436
7097,10.4984,-177.921,10.666,0.7006,0.0657
7246,-61.6779,-177.8794,11.381,0.3386,0.0298
7303,59.0392,-177.867,13.554,1.8024,0.133
7316,43.4579,-177.863,10.816,1.534,0.1418
7331,-48.6,-177.86,79.412,4.1956,0.0528
7417,9.6273,-177.839,12.875,1.0565,0.0821
7432,49.3067,-177.837,11.532,0.6041,0.0524
7509,-12.3554,-177.8172,25.086,2.194,0.0875
7550,-18.8574,-177.7999,15.14,1.703,0.1125
7560,-19.5439,-177.7968,12.865,0.8793,0.0683
7575,-22.2581,-177.7917,20.497,0.8965,0.0437
7601,3.5227,-177.7855,18.178,0.6208,0.0342
7635,10.9851,-177.7758,17.519,2.1386,0.1221
7641,33.9696,-177.774,12.713,0.6565,0.0516
7813,33.1703,-177.723,32.225,1.9291,0.0599
7833,-14.5732,-177.717,13.106,1.6061,0.1225
7848,42.3975,-177.713,11.416,0.4478,0.0392
7911,30.6506,-177.698,13.312,2.3046,0.1731
8005,-85.2448,-177.67,35.137,3.4069,0.097
8018,-4.1085,-177.6662,15.789,0.8323,0.0527
8039,-42.3386,-177.6617,75.572,4.4663,0.0591
8059,2.7269,-177.657,10.767,0.7858,0.073
8077,30.0014,-177.6509,75.993,4.4658,0.0588
8125,6.1404,-177.635,18.222,0.6695,0.0367
8147,49.9124,-177.6261,10.586,0.3281,0.031
8287,-58.6997,-177.5866,17.05,0.583,0.0342
8293,41.4867,-177.5847,17.132,0.842,0.0491
8294,0.658,-177.5842,11.86,0.9759,0.0823
8295,-21.3714,-177.5832,29.49,1.9908,0.0675
8317,48.0964,-177.578,13.509,1.6865,0.1248
8350,-81.7459,-177.57,12.665,1.0853,0.0857
8381,-16.5271,-177.562,29.868,3.136,0.105
8382,-7.1548,-177.5615,12.649,1.9271,0.1524
8412,-7.5363,-177.5544,10.847,0.4083,0.0376
8423,34.4091,-177.5519,18.91,1.1236,0.0594
8493,-45.3256,-177.534,10.61,0.7069,0.0666
8551,61.7969,-177.5187,12.419,1.639,0.132
8553,37.2576,-177.518,55.212,3.3719,0.0611
8591,-9.9982,-177.5078,10.637,0.8001,0.0752
8601,41.0139,-177.506,12.304,2.243,0.1823
8612,-12.8431,-177.5026,11.166,0.4873,0.0436
8626,43.6902,-177.5,12.282,0.5495,0.0447
8684,-14.8873,-177.4833,10.167,0.8965,0.0882
8750,-5.4265,-177.4649,16.008,1.2924,0.0807
8755,39.6621,-177.463,10.032,0.8259,0.0823
8818,-56.9395,-177.4412,32.024,0.6381,0.0199
8846,-54.4033,-177.435,13.273,0.7163,0.054
8863,-6.5888,-177.4295,36.377,2.769,0.0761
8875,-12.8927,-177.4267,26.351,1.4598,0.0554
8917,-15.1062,-177.4179,42.464,0.481,0.0113
8952,-40.7933,-177.4061,11.26,0.7818,0.0694
9018,45.2511,-177.39,10.923,0.179,0.0164
9069,13.5687,-177.376,10.304,0.7785,0.0756
9091,62.3022,-177.369,10.575,0.6569,0.0621
9146,35.6591,-177.3555,39.702,2.4323,0.0613
9202,44.843,-177.3403,60.031,0.9224,0.0154
9229,59.6726,-177.331,12.346,1.3174,0.1067
9259,19.9211,-177.322,11.441,1.1593,0.1013
9316,0.8685,-177.3063,43.041,2.9293,0.0681
9327,70.1986,-177.303,10.533,1.2238,0.1162
9365,77.6405,-177.29,48.458,3.1885,0.0658
9376,-0.5965,-177.288,10.865,1.0215,0.094
9385,-7.1269,-177.284,11.722,1.829,0.156
9430,10.6464,-177.2717,21.463,0.7356,0.0343
9436,-2.9158,-177.2701,13.674,0.4843,0.0354
9498,-5.8597,-177.255,11.114,0.9438,0.0849
9522,-18.0072,-177.2505,21.373,1.6435,0.0769
9535,31.3789,-177.2449,10.429,0.7203,0.0691
9622,22.9656,-177.222,12.123,0.8708,0.0718
9633,33.6701,-177.22,12.714,0.5378,0.0423
9676,-51.1576,-177.207,14.114,0.5285,0.0374
9746,40.3801,-177.19,11.608,0.934,0.0805
9799,41.8187,-177.176,10.218,1.0619,0.1039
9880,7.1389,-177.1555,12.794,0.5644,0.0441
9901,4.6849,-177.15,11.481,0.281,0.0245
9910,43.6737,-177.147,10.05,0.6305,0.0627
10000,30.346,-177.12,10.204,1.7053,0.1671
10006,-33.7978,-177.119,14.537,2.9379,0.2021
10007,28.0384,-177.1172,54.276,3.6109,0.0665
10043,42.5651,-177.1087,17.949,2.6266,0.1463
10057,3.6197,-177.1039,99.53,3.1263,0.0314
10067,-12.4342,-177.0995,10.98,0.832,0.0758
10100,59.4228,-177.089,10.039,0.878,0.0875
10122,-2.5564,-177.082,17.493,1.6853,0.0963
10141,26.5589,-177.0756,41.327,3.4971,0.0846
10156,-88.5177,-177.072,11.538,0.3035,0.0263
10212,-11.3037,-177.0591,35.088,2.0753,0.0591
10224,-7.8916,-177.0555,14.805,1.091,0.0737
10293,36.0907,-177.036,23.726,2.4668,0.104
10354,1.0417,-177.0209,10.958,0.8398,0.0766
10368,-9.1605,-177.015,13.18,1.3645,0.1035
10391,-3.3081,-177.0096,15.362,0.656,0.0427
10475,34.0268,-176.989,15.843,2.1864,0.138
10604,60.8111,-176.9587,28.096,3.3125,0.1179
10636,-13.7014,-176.9484,28.65,1.269,0.0443
10650,-1.0364,-176.944,11.341,0.5403,0.0476
10661,67.5294,-176.941,14.628,1.4485,0.099
10746,48.9104,-176.917,14.054,2.8218,0.2008
10874,34.7688,-176.887,10.219,2.0145,0.1971
10896,31.5808,-176.8815,19.513,1.567,0.0803
10921,-0.702,-176.878,10.609,0.9908,0.0934
