Flags_data,ID,Lat,Lon,Diam_km,Age
CE1,776,8.8388,-114.389,17.10930425,5
CE1,777,-18.4802,-144.168,17.10848626,5
CE1,778,31.2267,-88.226,17.10668179,2
CE1,779,-20.1827,-164.88,17.10609091,5
CE1,780,2.7917,-125.567,17.10394521,5
CE1,781,-58.801,52.8661,17.09702802,2
CE1,782,-20.7551,-33.152,17.09652037,3
CE1,783,28.7766,65.7632,17.0912192,2
CE1,784,52.4089,-172.913,17.09096241,5
CE1,785,-47.9211,-20.961,17.09050781,2
CE1,786,-15.9312,144.316,17.08804002,5
CE1,787,-60.516,160.192,17.08669385,2
CE1,788,53.4055,-89.785,17.07773696,5
CE1,789,-8.30483,111.037,17.07649441,5
CE1,790,-6.64295,163.034,17.07467709,5
CE1,791,49.4846,126.65,17.0742427,2
CE1,792,-44.8274,124.596,17.07346827,2
CE1,793,-56.0806,-123.777,17.07249952,2
CE1,794,26.7769,169.412,17.07052271,2
CE1,795,55.1001,177.085,17.07032845,3
CE1,796,8.32866,118.742,17.06994086,5
CE1,797,-0.672461,105.711,17.06144457,5
CE1,798,-45.5092,-60.525,17.05963609,5
CE1,799,60.5461,-158.462,17.05692366,5
CE1,800,18.27,115.742,17.05227154,5
CE1,801,-40.7239,-61.722,17.04961193,2
CE1,802,42.5186,77.8691,17.04608536,3
CE1,803,-22.5887,-152.2,17.04562324,2
CE1,804,5.60619,59.9504,17.03667067,5
CE1,805,-6.03413,174.799,17.03342297,5
CE1,806,-12.5734,100.666,17.03016649,5
CE1,807,43.0196,-150.883,17.02231628,5
CE1,808,-38.3548,131.771,17.02177549,2
CE1,809,-35.5746,34.5283,17.02046652,5
CE1,810,26.7205,78.6857,17.01685749,5
CE1,811,-21.9277,-131.143,17.0149774,5
CE1,812,6.6872,-132.462,17.00613257,5
CE1,813,14.7145,171.121,16.99541812,5
CE1,814,51.415,130.066,16.99288576,3
CE1,815,-32.3125,101.826,16.98413677,5
CE1,816,-31.7588,7.40164,16.98209339,2
CE1,817,33.3553,118.044,16.98140349,5
CE1,818,2.83495,-68.236,16.97593327,5
CE1,819,-43.2607,-30.172,16.97469454,4
CE1,820,-3.28115,-146.131,16.96747221,5
CE1,821,12.5921,169.079,16.96421414,5
CE1,822,-5.77817,-162.56,16.96307192,5
CE1,823,-15.9683,-59.271,16.96091266,3
CE1,824,6.23716,-167.93,16.9603184,5
CE1,825,-30.6417,-15.767,16.95680335,3
CE1,826,-46.1351,129.515,16.95490842,2
CE1,827,32.0202,147.973,16.954391,5
CE1,828,-30.6886,-173.167,16.95324731,2
CE1,829,47.8858,-154.258,16.94720073,5
CE1,830,-30.0105,149.575,16.94612824,5
CE1,831,-32.5444,171.901,16.94081044,2
CE1,832,-14.8886,-148.674,16.9333105,5
CE1,833,-24.1967,154.087,16.9216932,5
CE1,834,2.14442,66.9899,16.92152599,2
CE1,835,-5.21725,-58.426,16.92096353,5
CE1,836,-7.3227,120.328,16.92080541,5
CE1,837,-14.3867,-133.523,16.90663318,5
CE1,838,15.7277,127.892,16.90312492,5
CE1,839,-39.2002,-139.904,16.90295986,2
CE1,840,-54.8244,-135.888,16.90250585,3
CE1,841,-25.2159,99.895,16.90148044,1
